one,two,three,four,five,six,seven
2,Saanchita,2,Laptop,2,2022-10-14,60000
3,Sumukh,3,Phone,3,2021-09-12,50000
4,Anirudh,4,Phone,4,2020-05-04,30000
5,Sumedh,7,Phone,5,2022-06-02,18000
7,Adithi,15,Laptop,6,2021-08-06,80000
15,Supriya,21,Headphones,7,2019-03-04,7000
12,Anagha,20,Headphones,8,2022-11-07,5000
9,Pramithi,22,Laptop,9,2022-01-03,45000
11,Samarth,16,Phone,10,2020-03-02,30000
22,Prajna,23,Laptop,11,2019-07-04,60000
17,Chinmay,18,Phone,12,2020-01-18,42000
18,Yashas,17,Nokia,13,2022-04-12,8500
20,Kruthika,14,Headphones,14,2020-05-06,2000
16,Sudith,12,Headphones,15,2021-09-11,5000
